No.	ID	内容	时间	时间进度条	弹幕热度
1	badano2	油管还没开	0:0:3	3.891	0.978 
2	星云	来了	0:0:4	4.48	1.443 
3	赵迪奥	美美美 大大大	0:0:5	5.517	1.447 
4	赵志伟	晚安67373	0:0:6	6.033	1.495 
5	card921	美美美	0:0:6	6.082	1.458 
6	B1lly	开门啊	0:0:6	6.309	1.307 
7	luke3175	大黄	0:0:6	6.727	1.187 
8	领养小乌龟的阿普	lei了	0:0:8	8.052	1.095 
9	ming yang	来了	0:0:9	9.865	1.204 
10	磐石	来了来了	0:0:10	10.223	0.978 
11	小米轰炸姬	来了	0:0:10	10.823	1.443 
12	gp6cjo3	美美美	0:0:11	11.393	1.447 
13	倪楷哲	來了	0:0:12	12.204	1.495 
14	丞	開了	0:0:13	13.198	1.396 
15	划水的西瓜君	来了来了	0:0:14	14.606	1.173 
16	自动登记	hello 小黄人	0:0:14	14.961	1.156 
17	萌发	美美美	0:0:15	15.911	1.089 
18	啊呜	来了	0:0:16	16.784	1.145 
19	陈一横儿	美美美美美美美	0:0:17	17.011	1.399 
20	一发老公	lei了lei了	0:0:17	17.26	1.421 
21	陳一橫兒	阿巴阿巴阿巴	0:0:17	17.789	1.436 
22	饮尽盏中余温	来啦！	0:0:18	18.581	1.391 
23	十亿闪电法王	马上来了	0:0:19	19.98	1.286 
24	徐智源	可愛	0:0:20	20.717	1.330 
25	Heyley Carpinter	不信谣不传谣 狗助手	0:0:22	22.815	1.218 
26	badano2	果然突起优先级大于油管	0:0:22	22.919	1.257 
27	JC C	laile	0:0:23	23.121	1.387 
28	一个白日梦懒狗	大大大美美美	0:0:23	23.369	1.519 
29	ysosool	推了推了	0:0:24	24.2	1.391 
30	gdsd CCD	ya !!!	0:0:24	24.731	1.339 
31	异见者	入座	0:0:25	25.068	1.374 
32	领养小乌龟的阿普	噢～真黄真可爱	0:0:26	26.337	1.289 
33	小米轰炸姬	大大大	0:0:26	26.337	1.573 
34	Shizuru R	大大大大大大大大大	0:0:26	26.964	1.601 
35	老痰介绍我来的	哦吼	0:0:27	27.293	2.233 
36	党国拆迁队长	这么早	0:0:27	27.431	2.216 
37	邓一一	呀，好黄的主播	0:0:27	27.904	2.091 
38	木子一方	美美美大大大	0:0:27	27.933	2.191 
39	logic	你们真是快啊。	0:0:28	28.73	2.208 
40	tuanzi xiao	哇	0:0:28	28.758	2.483 
41	ming yang	哇 可爱	0:0:28	28.786	2.690 
42	孤独时代的刀不舔	泰黄啦	0:0:29	29.615	3.051 
43	一生所愛	点赞按两下	0:0:29	29.803	2.885 
44	tuanzi xiao	哇	0:0:29	29.837	3.481 
45	logic	厉害。	0:0:30	30.005	3.687 
46	夜兔不睡觉	袜	0:0:30	30.36	3.414 
47	党国拆迁队长	不科学	0:0:30	30.894	3.344 
48	星云	发发封面为啥用梅琳娜，现在梅琳娜熟得很彻底啊	0:0:31	31.732	2.632 
49	我发超可爱呢	今天也押对了！！血赚一万鱼丸	0:0:32	32.256	2.836 
50	炎黄解毒片	广告了	0:0:32	32.393	2.751 
51	秃秃	美美美大大大	0:0:32	32.584	2.633 
52	Eli C	拿钱拿钱 快点的	0:0:32	32.584	3.368 
53	tuanzi xiao	哇	0:0:32	32.719	3.429 
54	饮尽盏中余温	眼镜娘！！	0:0:33	33.132	3.035 
55	王先生	长者？	0:0:33	33.907	2.563 
56	Kangdi Shi	？	0:0:34	34.005	2.743 
57	王郁结	蛤？	0:0:34	34.196	3.028 
58	gdsd CCD	眼镜发啊	0:0:34	34.44	3.693 
59	在下陈一番	美美美	0:0:34	34.467	4.523 
60	B1lly	大大大大大大	0:0:35	35.233	3.521 
61	JC C	大大大	0:0:36	36.292	2.697 
62	划水的西瓜君	今天是小黄人儿	0:0:36	36.348	2.657 
63	饮尽盏中余温	awsl	0:0:36	36.456	2.676 
64	倪楷哲	美美美美美美美	0:0:36	36.624	2.864 
65	masaya yaguchi	哇 好准时啊！	0:0:37	37.067	3.165 
66	赵迪奥	知性发	0:0:37	37.285	3.049 
67	在下陈一番	喜欢戴眼镜的台主	0:0:37	37.721	2.837 
68	柏木可乐	美美美美美美	0:0:38	38.79	2.299 
69	孤独时代的油条丶	大大大美美美	0:0:39	39.031	2.191 
70	Paul Wu	好大的眼镜	0:0:39	39.206	2.517 
71	Msharp24	今天是宅女套？	0:0:40	40.178	2.573 
72	Yeager Eren	啥情况	0:0:40	40.454	2.435 
73	陈一横儿	眼镜发好美好美	0:0:40	40.703	2.355 
74	Kangdi Shi	这么可爱的吗	0:0:41	41.771	1.943 
75	Eli C	刚才下注的那些人别跑	0:0:41	41.978	2.036 
76	Lentis Lee	美美美	0:0:42	42.338	1.979 
77	大野猫	好看，我是说广告	0:0:42	42.556	2.068 
78	奔奔	发发发发发发发发发发发发发发发	0:0:42	42.772	2.511 
79	ysosool	去油管看，我装了飘屏弹幕舒服点	0:0:42	42.853	2.616 
80	233非洲大阴阳师	今天还有王菠萝的眼镜？	0:0:43	43.077	2.583 
81	赵迪奥	知性发太戳我了	0:0:45	45.585	1.849 
82	Shizuru R	大大大	0:0:45	45.701	1.906 
83	ming yang	大大大大大大（指眼镜）	0:0:47	47.399	1.493 
84	yuan er	这	0:0:47	47.814	1.655 
85	草民	广告啊	0:0:47	47.815	1.713 
86	领养小乌龟的阿普	戴眼镜更像小黄人了	0:0:47	47.953	1.781 
87	杨梦松	来了来了	0:0:47	47.967	1.848 
88	Heyley Carpinter	新鲜热乎的发姐	0:0:48	48.316	1.804 
89	邓亮	白白白	0:0:49	49.012	1.624 
90	Sam Shen	来了xdm	0:0:49	49.875	1.471 
91	tuanzi xiao	这是睡懵了吧	0:0:50	50.588	1.999 
92	鱼怼怼	今天是陈小胖	0:0:51	51.212	1.815 
93	肖万宝	今天是温柔学姐造型	0:0:51	51.376	2.514 
94	wolege80	眼镜娘 好美	0:0:51	51.472	2.734 
95	白无忌	眼镜娘！	0:0:51	51.661	2.600 
96	陈氏艺能大赏	黄色主播举报了	0:0:54	54.282	1.580 
97	一个白日梦懒狗	黑框眼镜i了i了	0:0:54	54.391	1.557 
98	rv543	這髮縫	0:0:54	54.982	1.500 
99	领养小乌龟的阿普	应该穿个背带裤	0:0:55	55.024	1.663 
100	萌发	美美美	0:0:55	55.861	1.671 
101	王先生	资瓷	0:0:56	56.639	1.653 
102	badano2	这边画质好	0:1:0	60.464	1.081 
103	Aciel_An	美美美	0:1:1	61.195	1.018 
104	星云	今天是眼镜发？	0:1:1	61.316	1.016 
105	孤独时代的加加加林	我马上去穿同款	0:1:1	61.621	1.004 
106	炎黄解毒片	大大大眼镜	0:1:1	61.874	1.317 
107	妮蔻	今天咋带镜框了呢？	0:1:2	62.669	1.208 
108	在下陈一番	学生妹儿	0:1:2	62.969	1.252 
109	孤独时代	长者	0:1:3	63.598	1.166 
110	黑門	今天氣色好多了~~~	0:1:4	64.02	1.226 
111	老痰介绍我来的	哇今天很不一样啊	0:1:4	64.791	1.227 
112	孤独时代的安逸	陈学姐	0:1:5	65.482	1.993 
113	陈一发的脑残粉	美美美大大大	0:1:5	65.647	2.246 
114	异见者	长者你吼啊	0:1:5	65.759	2.251 
115	textr_	好耶	0:1:6	66.586	2.014 
116	34+35 hottie	这件衣服猫爪子抓不破吧	0:1:9	69.075	1.389 
117	masaya yaguchi	还是大眼镜显脸小啊	0:1:9	69.527	1.458 
118	白佛	这是斗鱼那个陈一发吗？	0:1:10	70.017	1.419 
119	bill lu	碎星！你的末日到了！	0:1:10	70.844	1.380 
120	愛電玩	好像18歲	0:1:11	71.314	1.371 
121	Bobby Chen	戴個眼鏡 看清楚王的動作	0:1:11	71.423	1.508 
122	Farrar Hung	眼镜少女？	0:1:11	71.776	1.589 
123	Kit Kwok	上海星巴克还开？	0:1:11	71.777	1.631 
124	肖万宝	把卫衣扎在裤子里面	0:1:12	72.818	1.417 
125	我发超可爱呢	眼镜发！！！！	0:1:13	73.751	1.396 
126	一发老公	要直播画皮吗?	0:1:14	74.27	1.925 
127	赵迪奥	台主今年上大几了？	0:1:15	75.182	1.768 
128	士林 六七三七三 張小風	這跟我前天吃鍋貼旁邊的女生打扮好像阿	0:1:16	76.157	1.629 
129	我发超可爱呢	眼镜发！！！！	0:1:17	77.408	1.523 
130	osge	大明星	0:1:17	77.905	1.517 
131	Saitbaer	晚上好小九九	0:1:19	79.045	1.312 
132	s tom	dddddddddddd	0:1:19	79.88	1.234 
133	领养小乌龟的阿普	陈同学晚上好	0:1:20	80.32	1.171 
134	红烧雪梨-	嗨～	0:1:20	80.769	1.258 
135	暗中观察	大大大大大大大大大大	0:1:21	81.853	1.234 
136	萌发	美美美	0:1:22	82.349	1.238 
137	唤石	口红抹了吗	0:1:24	84.744	1.046 
138	不想睡	新闻发布会开始	0:1:26	86.266	0.989 
139	十亿闪电法王	妹儿咋戴眼睛了哟	0:1:27	87.219	1.019 
140	Albert Shi	唯一一个能让我心甘情愿：看完两段广告的女人。	0:1:27	87.296	1.065 
141	小米轰炸姬	碎星 == 睡醒	0:1:27	87.707	1.154 
142	一发老公	要不今天就这样吧...	0:1:28	88.996	1.097 
143	Okapi	怎么好像粘的鼻子	0:1:28	88.996	1.153 
144	王先生	长者吼啊	0:1:29	89.982	1.085 
145	老痰介绍我来的	上海降温了吗？	0:1:30	90.851	1.111 
146	L Jaime	美女晚上好	0:1:31	91.183	1.132 
147	StreamElements	陈一发儿放映室 is now live! Streaming Just Chatting: 开播通知群：电报：t.me/FaFa67373	0:1:31	91.598	1.459 
148	bill lu	少女感十足	0:1:31	91.68	1.847 
149	赵迪奥	台主今年上大几了？20了没有？	0:1:31	91.791	2.187 
150	Paul Wu	麦克风没开？	0:1:31	91.873	2.185 
151	rua	美美美	0:1:32	92.073	2.290 
152	Perla Roessler	好看	0:1:34	94.185	1.927 
153	lafleur 288	一看就是高端女玩家	0:1:34	94.213	1.917 
154	孤独时代的tbo	不是镜框，有镜片哎	0:1:35	95.567	1.791 
155	z zzz	晚上好呀发发~~~	0:1:36	96.737	1.699 
156	磐石	加厚防爪款	0:1:37	97.598	1.559 
157	大頭不再大頭	不是要玩老头环么	0:1:38	98.835	1.382 
158	萌发	黑框发	0:1:40	100.159	1.179 
159	cainiaowan	衣服上那个小孩儿拿着放大镜在看啥	0:1:45	105.262	0.742 
160	星云	我好像看到双下巴了	0:1:45	105.344	0.742 
161	喻Vincent	今天衣服不错 挺大的	0:1:45	105.62	0.738 
162	草民	老妹儿你今天老带劲儿啦	0:1:46	106.115	0.838 
163	小喂狗	大大大美美美	0:1:46	106.115	0.840 
164	空谷幽兰	封面和本人一模一样	0:1:46	106.143	0.946 
165	yuan er	蟆	0:1:48	108.823	0.827 
166	jieke tianshi	我来看发发卡关，顺便带你过关	0:1:49	109.019	0.876 
167	李知恩	？？？	0:1:49	109.16	0.969 
168	小米轰炸姬	陈同学	0:1:49	109.625	1.056 
169	炎黄解毒片	小德呢？	0:1:50	110.529	1.899 
170	奏者	她好美	0:1:55	115.494	0.985 
171	康师傅鲜虾鱼板面	女人真麻烦	0:1:56	116.247	0.941 
172	Majordome1	fafafafafa	0:1:57	117.409	0.885 
173	67373丶泡泡	美美美	0:1:58	118.361	0.817 
174	肖万宝	瓜子饮料矿泉水了啊，粉底眼影小口红	0:2:0	120.249	0.709 
175	赵迪奥	我聋了	0:2:1	121.085	0.816 
176	老痰介绍我来的	伤口好些了吗？	0:2:1	121.721	0.787 
177	robin罗宾	飞秒激光手术做了吗	0:2:2	122.778	0.734 
178	领养小乌龟的阿普	小德还在反省呢？	0:2:3	123.971	0.697 
179	锡惠Mon	赶上直播啦。开心	0:2:4	124.165	0.733 
180	Paul Wu	COS某个人是吧	0:2:4	124.743	1.081 
181	壹叶知秋	打游戏还化妆？发发讲究人！！	0:2:6	126.105	1.014 
182	Fight4Freedom	台主 今天不敢叫 星巴克 啦????	0:2:7	127.275	1.014 
183	萌发	hi	0:2:8	128.38	0.998 
184	z zzz	这是准备肝通宵老头环的装束吗？	0:2:8	128.707	1.182 
185	孤独时代lx	美女晚上吼	0:2:9	129.361	1.208 
186	磐石	hi	0:2:9	129.693	1.254 
187	龍祈	发发	0:2:10	130.721	1.259 
188	Farrar Hung	这打扮就比较像女朋友了。	0:2:11	131.83	1.272 
189	萌发	hi	0:2:11	131.97	1.281 
190	李知恩	害	0:2:12	132.269	1.329 
191	倪楷哲	嗨	0:2:12	132.431	1.581 
192	Kit Wu	我的邓伦	0:2:12	132.543	1.898 
193	大頭不再大頭	想看陈一发摔鼠标砸显示器	0:2:12	132.897	2.214 
194	领养小乌龟的阿普	嗨～	0:2:13	133.141	2.255 
195	红烧雪梨-	嗨	0:2:13	133.44	2.452 
196	划水的西瓜君	hi	0:2:13	133.745	2.468 
197	陈一横儿	嗨	0:2:14	134.854	2.420 
198	Albert Shi	海	0:2:15	135.379	2.818 
199	Msharp24	hi	0:2:15	135.428	2.892 
200	在下陈一番	今天专业起来了，打游戏要乱杀	0:2:15	135.516	3.080 
201	饮尽盏中余温	hi	0:2:16	136.749	2.316 
202	龍祈	hi	0:2:17	137.112	2.189 
203	一生所愛	蛤蛤镜	0:2:17	137.413	2.214 
204	奔奔	嗨害嗨	0:2:17	137.774	2.158 
205	Tim Lee	校园发	0:2:18	138.164	2.117 
206	陈一发的脑残粉	今天是大学生发发吗？	0:2:18	138.994	1.905 
207	AMX002S	Hi~	0:2:19	139.16	2.322 
208	Majordome1	Oi Oi	0:2:19	139.239	2.591 
209	JC C	hi 学生妹	0:2:19	139.242	2.622 
210	Okapi	她说话了！！	0:2:19	139.951	2.255 
211	Crazy universe	今天cos的是谁	0:2:22	142.581	1.715 
212	夜兔不睡觉	嗨嗨嗨	0:2:22	142.663	1.801 
213	Din Din	Hi	0:2:22	142.978	1.797 
214	Hobart Liu	发哥，晚上好	0:2:23	143.976	1.612 
215	南星	今天是小妹妹吗	0:2:24	144.031	1.704 
216	妮蔻	hi	0:2:24	144.798	1.723 
217	领养小乌龟的阿普	哈肉陈同学	0:2:25	145.076	1.690 
218	翠 翠	喝的神么	0:2:25	145.761	1.533 
219	Kit Kwok	眼睛娘怒斩拉塔恩	0:2:26	146.061	1.466 
220	茄薇看天气预报	哈喽	0:2:26	146.254	1.587 
221	赵迪奥	结痂了吗？	0:2:27	147.276	2.130 
222	星云	晚上好 今天穿得好居家	0:2:27	147.89	1.913 
223	Young Doit	hi~	0:2:28	148.337	1.866 
224	老痰介绍我来的	hi	0:2:30	150.189	1.610 
225	瀧角散	hi	0:2:31	151.146	1.405 
226	Yeager Eren	呃呃	0:2:31	151.419	1.510 
227	Brocco Lee	发发什么时候来个防火女仿妆	0:2:32	152.053	1.433 
228	Samuel Zhu	hello	0:2:32	152.469	1.491 
229	textr_	皮卡丘	0:2:32	152.486	1.556 
230	吴GAGaa	来了来了	0:2:33	153.689	1.345 
231	陈氏艺能大赏	解放小德	0:2:35	155.153	1.270 
232	陈工的一梦华胥	眼镜框	0:2:35	155.757	1.271 
233	自动登记	hi	0:2:36	156.327	1.252 
234	zy w	haihaihai	0:2:37	157.287	1.409 
235	张湖畔	好久不见	0:2:39	159.364	1.217 
236	陈Randy.	hi	0:2:39	159.907	1.178 
237	空谷幽兰	封面和本人一模一样	0:2:41	161.063	1.110 
238	AMX002S	Hello~Hello~晚上好呀	0:2:41	161.898	1.061 
239	Msharp24	evening pretty	0:2:41	161.966	1.055 
240	Frank Lin	台主啥时候近视的？	0:2:42	162.116	1.187 
241	Young Doit	Good evening!	0:2:42	162.5	1.361 
242	dayfung91	美美美大大大	0:2:44	164.362	1.162 
243	Din Din	哈急迈妈西呆	0:2:45	165.307	1.114 
244	萌发	是是是	0:2:45	165.645	1.196 
245	孤独时代的大熊	陈美铝	0:2:46	166.288	1.444 
246	头号发吹	晚上好发发	0:2:46	166.753	1.461 
247	孤独时代的衰仔	不是做手术了吗	0:2:46	166.78	1.749 
248	小米轰炸姬	呆萌	0:2:48	168.004	1.638 
249	张湖畔	特意翻墙出来	0:2:48	168.666	1.493 
250	Young Doit	My girl	0:2:49	169.537	1.348 
251	Majordome1	橙味发	0:2:49	169.925	1.347 
252	张玉笙	秃头了	0:2:50	170	1.774 
253	可乐加味精	SuperChat：(R$20.00)台主好美	0:2:51	171.229	1.689 
254	the dk	hello	0:2:51	171.265	1.779 
255	Farrar Hung	我以为这身衣服，下面都是超短裙。。。	0:2:51	171.292	1.998 
256	划水的西瓜君	是是是	0:2:51	171.897	1.944 
257	饮尽盏中余温	今天也是高玩	0:2:51	171.924	1.944 
258	为发而来的萌新	晚上好！发发	0:2:52	172.578	2.186 
259	Aciel_An	iris63Pap	0:2:52	172.853	2.388 
260	领养小乌龟的阿普	这不是大学生风么	0:2:53	173.083	2.820 
261	Albert Shi	又被你发现	0:2:55	175.956	1.658 
262	Jackie Hans	长者打扮！	0:2:56	176.808	1.469 
263	王郁结	你运动不都是居家运动	0:2:57	177.163	1.685 
264	陈一发的脑残粉	禁忌教师陈一发	0:2:57	177.299	1.657 
265	孤独时代的大熊	居家不穿	0:2:59	179.003	1.297 
266	张湖畔	看看我发姐	0:2:59	179.468	1.321 
267	the dk	眼镜能增加战斗力吗	0:3:1	181.927	1.000 
268	陈工的一梦华胥	湖人队的队服？	0:3:2	182.618	0.996 
269	Viccloud Zhang	居家不用穿	0:3:3	183.833	0.911 
270	一生所愛	蛤楼	0:3:5	185.499	0.805 
271	小米轰炸姬	不信谣 不传谣	0:3:6	186.577	0.942 
272	自动登记	眼镜居然有镜片耶	0:3:7	187.233	0.959 
273	okamisama	嗨	0:3:7	187.869	0.934 
274	zy z	漂亮	0:3:9	189.754	0.803 
275	孤独时代的衰仔	又近视了？	0:3:10	190.442	0.874 
276	翠 翠	你近视吗？	0:3:11	191.069	0.862 
277	妮蔻	又近视了吗？	0:3:11	191.259	1.072 
278	Kent Lu	這是傳說中的大便色運動服嗎~~~~~~~~~~~~~~~	0:3:12	192.174	1.046 
279	Harry Wong	居然是真实的眼镜	0:3:12	192.393	1.168 
280	空谷幽兰	什么时候cos女武神	0:3:14	194.976	1.055 
281	Mong-Yun Chen	發姐晚安~	0:3:15	195.47	1.124 
282	Y法师咚咚叽	小美好美~	0:3:15	195.964	1.145 
283	草民	我居家胡子都不带刮的	0:3:17	197.979	0.989 
284	Baldwin	运动不戴眼镜吧	0:3:19	199.73	1.002 
285	Fred Chen	发发晚上好	0:3:21	201.178	0.931 
286	rv543	隔壁甜心打了12+10小時才過女武神，哭得唏哩嘩啦，看看發發會不會被打哭	0:3:22	202.133	0.904 
287	大頭不再大頭	开打了么？女神	0:3:23	203.724	0.802 
288	67373丶泡泡	今天基金涨了台主情绪也高了	0:3:24	204.442	0.815 
289	J Y	戴眼镜干嘛	0:3:26	206.758	0.696 
290	Paul Wu	喜瑞丝同款	0:3:30	210.747	0.634 
291	badano2	凸起延迟好低啊	0:3:31	211.394	0.628 
292	头号发吹	你的眼镜是不是没度数	0:3:37	217.694	0.460 
293	okamisama	发发晚上好	0:3:40	220.701	0.440 
294	赵迪奥	这几天一直在像你	0:3:41	221.548	0.458 
295	polaris_045	发工资了	0:3:42	222.529	0.468 
296	妮蔻	过的不太好	0:3:42	222.642	0.488 
297	炎黄解毒片	隔离中	0:3:43	223.691	0.501 
298	空谷幽兰	居家办公爽歪歪	0:3:44	224.101	0.509 
299	瀧角散	一般般，困死了	0:3:44	224.481	0.564 
300	Fred Chen	隔离在家三天了	0:3:45	225.338	0.685 
301	james north	真空	0:3:46	226.402	0.666 
302	izumi sakai	不太好，天天加班	0:3:46	226.434	1.144 
303	Young Doit	不是做過激光矯正手術了嗎？怎麽又戴上眼睛了呢？	0:3:46	226.899	1.613 
304	领养小乌龟的阿普	过的瑟瑟发抖	0:3:47	227.149	1.785 
305	王郁结	加油站全是车在排队	0:3:47	227.177	2.151 
306	the dk	居家办公，昏天黑地	0:3:47	227.233	2.178 
307	Haoxiang Chen	？？？	0:3:47	227.881	2.387 
308	B1lly	发姐没有你我可怎么活啊	0:3:48	228.151	2.469 
309	陈工的一梦华胥	在家待着呗	0:3:49	229.758	1.895 
310	陈一发的脑残粉	没有你在身边所以不好	0:3:49	229.953	2.167 
311	飯飯飯	隔离了	0:3:50	230.123	2.687 
312	shuolin he	今天涨了	0:3:50	230.982	2.199 
313	Tomson Austin	小区封了	0:3:51	231.148	2.353 
314	Harry Wong	吃了很多老坛酸菜 精神更好了	0:3:51	231.284	2.418 
315	AMX002S	还是那样，天天想你	0:3:51	231.826	2.151 
316	文刀先生	驾照学出来了吗	0:3:52	232.131	2.042 
317	陈氏艺能大赏	天天被捅喉咙	0:3:52	232.424	2.201 
318	可乐加味精	哈哈哈哈哈	0:3:52	232.521	2.288 
319	放映室检票员	抄底成功了没发发	0:3:52	232.67	3.434 
320	一个白日梦懒狗	哈哈哈哈哈哈	0:3:53	233.701	2.668 
321	斗鱼今天破产了吗	发发手上的伤咋样了	0:3:53	233.897	2.650 
322	BKK候鸟	发姐今天鼻子好挺	0:3:54	234.065	3.244 
323	草民	过得不好，不开心，股票天天跌，哈哈哈哈	0:3:54	234.368	3.106 
324	异见者	长者是吧	0:3:54	234.425	3.184 
325	z zzz	我居家都不敢照镜子	0:3:54	234.618	3.582 
326	喻Vincent	哈哈哈哈	0:3:55	235.589	2.892 
327	okamisama	哈哈哈	0:3:56	236.37	2.534 
328	饮尽盏中余温	昨天看了一天发姐录播	0:3:58	238.706	1.617 
329	Haoxiang Chen	发姐小区封了嘛？	0:3:59	239.077	1.561 
330	早慢熊	肛肠科提醒你	0:3:59	239.179	1.825 
331	level70	这个颜色很健康哇	0:3:59	239.206	1.884 
332	小米轰炸姬	中远海控 涨了	0:4:0	240.591	1.532 
333	自动登记	小德呢	0:4:2	242.831	1.182 
334	赵迪奥	没有你的日子很是枯燥	0:4:3	243.647	1.084 
335	别天神 灬	哈哈哈哈	0:4:4	244.076	1.057 
336	clean white	好像婴儿的大便就是这个颜色	0:4:4	244.961	1.067 
337	陈Randy.	碎星练得怎么样了，能无伤过了吗	0:4:5	245.68	1.074 
338	Kit Kwok	黄便便不是健康的颜色吗？	0:4:5	245.762	1.417 
339	Charles Jia	今天股票涨了吗？	0:4:9	249.068	1.001 
340	陈一横儿	这几天也没别的，就是想你	0:4:9	249.208	0.997 
341	领养小乌龟的阿普	最近一直在跑毒圈	0:4:10	250.049	0.922 
342	Young Doit	不是做過激光矯正手術了嗎？怎麽又戴上眼睛了呢？	0:4:10	250.131	1.048 
343	喻Vincent	脱口秀天花板	0:4:10	250.159	1.365 
344	王郁结	上炕了上炕了	0:4:10	250.214	1.523 
345	Kent Lu	好的 等一下去掛號	0:4:10	250.377	1.587 
346	okamisama	美美美大大大	0:4:11	251.104	1.628 
347	Albert Shi	没有这个女人我也活不了 x2	0:4:14	254.098	1.188 
348	晴天	做核酸了吗	0:4:16	256.94	0.895 
349	Haoxiang Chen	666啊	0:4:17	257.398	1.200 
350	阿歪	等会美股开盘 中概股大反攻！	0:4:18	258.233	1.108 
351	你知道的太多	晚上吼~	0:4:18	258.724	1.153 
352	67373丶泡泡	没通知核酸吗	0:4:19	259.751	1.040 
353	Tomson Austin	在家隔离	0:4:20	260.043	1.012 
354	Dougisadog Yoyo	这裤腰这眼睛，蛤	0:4:24	264.135	0.718 
355	陳一橫兒	娘咧，跟我一個坐姿	0:4:25	265.263	0.672 
356	可乐加味精	自我封闭是吧	0:4:25	265.789	0.681 
357	喻Vincent	健康是棕色的，亮黄色有问题的	0:4:27	267.053	0.772 
358	au5rmmta	就地隔離	0:4:27	267.249	0.970 
359	Din Din	不戴眼镜的发发美 戴眼镜的发发美美美	0:4:27	267.358	1.004 
360	rv543	丁丁哭了	0:4:28	268.534	0.971 
361	shuolin he	抱抱小德吧	0:4:28	268.681	1.004 
362	Tomson Austin	大筛查	0:4:30	270.683	0.915 
363	咸魚發	台主的头发有点飘逸	0:4:32	272.764	0.786 
364	liang cui	怎么在油管还穿那么多	0:4:33	273.181	1.105 
365	Haoxiang Chen	说是说不封城，但感觉也和封城没啥区别了	0:4:33	273.337	1.239 
366	Paul Wu	傻逼清零政策	0:4:33	273.791	1.250 
367	晴天	发工资了 开下	0:4:33	273.898	1.461 
368	草民	没有就好，收到星巴克了吗？	0:4:35	275.4	1.227 
369	晴天	开心	0:4:37	277.982	0.941 
370	小米轰炸姬	哈哈	0:4:37	277.994	1.057 
371	飯飯飯	抓起来	0:4:38	278.769	0.991 
372	67373丶泡泡	是的，俺第一天	0:4:40	280.085	1.064 
373	bo zhang	我在宝鸡，现在天天做核酸，	0:4:41	281.149	1.193 
374	mystery z	这个人好像不大聪明的样子	0:4:41	281.998	1.134 
375	陈氏艺能大赏	已经不让出市区了	0:4:42	282.947	1.041 
376	绵绵	有要做核酸吗	0:4:43	283.608	1.019 
377	masaya yaguchi	造谣！	0:4:43	283.856	1.004 
378	rua	上海不封城吗	0:4:44	284.129	1.146 
379	妮蔻	不是据说，就是	0:4:44	284.732	1.481 
380	大野猫	九宫格式防控	0:4:47	287.129	1.095 
381	飯飯飯	公司封了嘛	0:4:48	288.431	1.035 
382	磐石	我离中风险区300米	0:4:48	288.652	1.167 
383	陈工的一梦华胥	抓起来	0:4:50	290.556	1.063 
384	Kent Lu	全上海最不怕隔離的就是妳陳一發兒吧? 哈	0:4:52	292.522	0.950 
385	rv543	哈哈哈	0:4:53	293.608	0.938 
386	Majordome1	Ah	0:4:54	294.652	0.905 
387	ricochet1221	oooooit	0:4:54	294.723	0.920 
388	67373丶泡泡	哈哈哈哈哈	0:4:55	295.947	0.846 
389	瀧角散	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	0:4:56	296.166	0.875 
390	okamisama	封了	0:4:56	296.827	1.031 
391	萌发	哈哈哈哈哈哈哈哈哈哈	0:4:57	297.564	1.095 
392	小米轰炸姬	啊	0:4:57	297.604	1.117 
393	磐石	哈哈哈哈哈哈哈哈哈哈哈	0:4:58	298.238	1.302 
394	赵迪奥	小德你错了没！？	0:4:59	299.339	1.467 
395	炎黄解毒片	举报一个上海人有一万	0:5:0	300.134	1.532 
396	clean white	这个眼睛带上，有点对眼	0:5:0	300.715	1.649 
397	z zzz	日常	0:5:1	301.085	1.572 
398	施pplvmax	啊	0:5:1	301.195	1.905 
399	划水的西瓜君	哈哈哈哈哈哈哈哈	0:5:1	301.249	1.967 
400	rv543	又能買新的	0:5:1	301.55	2.117 
401	一个白日梦懒狗	哈哈哈哈哈哈哈哈哈	0:5:1	301.937	2.287 
402	锡惠Mon	哈哈哈哈哈哈哈哈哈	0:5:2	302.459	2.060 
403	领养小乌龟的阿普	哎哟还好小德不在 不然背锅了	0:5:2	302.924	2.134 
404	老痰介绍我来的	哈哈哈哈哈哈	0:5:3	303.006	2.727 
405	陈一只丨	哈哈哈哈哈哈	0:5:3	303.389	3.072 
406	wongjackfox	哈哈哈哈哈哈	0:5:3	303.567	3.506 
407	AMX002S	咋了咋了？	0:5:3	303.922	3.525 
408	gdsd CCD	哈哈哈哈	0:5:3	303.967	3.608 
409	Paul Wu	现在是大便色了	0:5:4	304.109	3.497 
410	倪楷哲	哈哈哈哈哈哈	0:5:4	304.304	3.631 
411	可乐加味精	哈哈哈哈哈哈哈	0:5:4	304.417	4.032 
412	Haoxiang Chen	哈哈哈哈哈哈	0:5:4	304.622	4.623 
413	Frank Lin	都怪小德	0:5:4	304.717	5.577 
414	喻Vincent	这段？？	0:5:4	304.885	5.322 
415	the dk	哈哈哈哈哈哈哈哈哈哈哈哈	0:5:5	305.189	5.556 
416	Tommi Liu	哈哈哈	0:5:5	305.491	5.198 
417	liang cui	湿了	0:5:6	306.656	3.658 
418	南星	舒服了	0:5:7	307.021	3.274 
419	萌发	小德你错了没	0:5:7	307.454	2.990 
